article,title
southern sudanese rebel leader john garang on wednesday rejected the egyptian-libyan plan aimed at helping put an end to his country 's civil war .,sudanese rebel leader rejects egyptian-libyan
"a man 's body was found in his home more than a year after his death , with the television still on and his features preserved by dry conditions in the house , officials said .",more than a year after death man found in front of his tv
"when the plan for a single european currency was launched nearly six years ago , it seemed inconceivable that germany , famed for its strict financial housekeeping , would prove to be the scheme 's weak link .",europe 's single currency could prove to be a weak one
"the treasury department , facing huge borrowing needs because of the government 's $ ### billion rescue program , said wednesday it will increase the size of treasury securities being sold to the public .",treasury to sell more debt to deal with borrowing
arsenal 's backup goalkeeper lukasz fabianski signed a new long-term contract with the club friday .,fabianski signs new contract with arsenal
"olympic champion hans-petter buraas captured his first world cup career victory monday , taking a night slalom following the disqualification of austria 's heinz schilchegger .",buraas wins world cup ski race
the u.n. security council is strongly condemning the terrorist attack in an iranian border city that killed top revolutionary guard commanders and dozens of others .,un condemns iranian terrorist attack
a leading asian rights body said thursday it had written to myanmar 's military rulers to urge them to release ## pro-democracy activists arrested for anti-government activities .,asian rights body calls for release of myanmar political prisoners
"since #### , china 's armed forces have been the leader of all groups in the country 's voluntary tree-planting campaign .",china 's military in afforestation drive
"sadly , in a world of food trends , buttermilk pie has faded from its glory days .",buttermilk pie is well deserving of a revival
"hundreds of nuns , bishops and volunteers attended a mass on thursday marking the ###th anniversary of the birth of mother teresa , the selfless nun who dedicated her life to serving the sick and poor in india .",indians remember mother teresa on birth centennial
"anti-terrorist cooperation between western countries , particularly in europe , is `` not sufficient '' given the danger and heightened risks faced today , france 's top anti-terrorist investigating judge said sunday .",french anti-terrorist judge says western cooperation not sufficient
"leading clerics in many countries of the middle east did n't spot a new moon on wednesday , meaning that the four weeks of dawn-to-dusk fasting in the muslim holy month of ramadan will begin friday , local news media reported .",many countries in middle east say ramadan to start friday
"two young italian women taken hostage in iraq could be freed by the end of the week , italy 's ansa news agency said citing the head of a kuwaiti newspaper that reported at the weekend the two aid workers were still alive .",afp world news summary
missouri gov. matt blunt has signed legislation ensuring that state residents ' guns can not be seized in cases of emergency -- a reaction to the aftermath of the hurricane katrina disaster on the u.s. gulf coast .,missouri governor signs bill ensuring residents can keep their guns during emergencies
"israel 's late prime minister yitzhak rabin would still be alive if he had worn a bullet-proof vest on the night of his shooting last november , police ballistics tests showed on monday .",bullet-proof vest would have saved rabin tests show
"the words for lloyd webber 's music are by jim <unk> , who wrote `` bat out of hell '' and other meat loaf hits .",whistle while they work on lloyd webber 's new play
european commission president jose manuel barroso called on labor unions and employers thursday to embrace social reforms if they wanted more jobs and economic growth .,eu officials discuss social reform with business and unions
angelina jolie began two days of meetings with haiti earthquake victims tuesday in her role as a goodwill ambassador for the u.n. refugee agency .,angelina jolie visits haiti with un refugee body
"the zimbabwean government is currently working on joint ventures with china for the development of small to medium enterprises -lrb- smes -rrb- , a cabinet minister said on monday .",zimbabwean small enterprises encouraged to venture into business with china
"the sudanese government has hiked the price of fuel for the third time this year , boosting gas and petroleum prices by as much as ## percent , an energy ministry circular distributed sunday said .",sudan raises fuel prices
"france 's laurent brochard , of the ag#r team , won the criterium international cycling race here on sunday .",brochard wins criterium international
"in a sign of how vilified smoking has become , virginia -- where the world 's largest cigarette factory churns out marlboros -- is considering restrictions on smoking in public places .",home of marlboro man mulls smoking restrictions
"the number of people dying on the nation 's roads has fallen to its lowest level in six decades , helped by a combination of seat belts , safer cars and tougher enforcement of drunken driving laws .",highway deaths fall to lowest level since ####
"tunisia 's trade deficit widened ## percent to #.# billion dinars -lrb- #.### billion us dollars -rrb- in #### over the previous year due to high imported oil costs , government data showed on monday .",tunisia trade deficit in #### widens ## pct on oil bills
"east china 's shandong province , with the third largest gross domestic product in the country , will make efforts to increase its presence in the global economy in the coming century .",chinese economic powerhouse to increase international presence
"homeland security director tom ridge voiced optimism friday that the nation 's anthrax threat was subsiding , and hospital officials approved the release of two u.s. postal workers treated for the inhalation form of the disease .",ridge sees anthrax threat subsiding ; two postal workers released
"turkey has shortlisted four foreign companies as contenders for a lucrative contract to supply its army with hundreds of thousands of infantry rifles , defense officials said wednesday .",turkey shortlists companies for infantry rifle contract
"tributes poured in monday after the death of british comic and television actor mike reid , most famous for his <unk> role in the bbc 's flagship soap opera `` eastenders '' .",british comic actor mike reid dies
xavi hernandez scored in the ##th minute sunday to give fc barcelona a #-# win over osasuna and move the team within six points of spanish league leader real madrid .,barcelona gains on spanish leader real madrid after #-# win over osasuna
"the finnish government said wednesday it planned to tighten the country 's tobacco laws , banning shops from displaying cigarettes in an attempt to prevent youths from starting smoking .",finland to ban stores from displaying cigarettes
an indian court tuesday revived criminal charges against former deputy prime minister lal krishna advani for allegedly inciting a mob to demolish a ##th century mosque .,indian court revives mosque demolition charges against advani
"the world bank predicts the economy in east asia will grow by over # percent this year , the second strongest pace in the last five years , spurred by a substantial decline in poverty , milan <unk> , an update author of the world bank , said on tuesday .",world bank sees solid growth in east asia in ####
"thailand 's economic growth will continue to slow in #### because of high oil prices , the effects of the dec. ## tsunami and the continuing insurgency in the country 's southern provinces , the world bank said wednesday .",thailand 's economic growth to continue to slow in #### world bank says
senate foreign relations committee chairman jesse helms proposed wednesday to drastically overhaul america 's foreign affairs establishment by merging major foreign policy agencies into an enlarged state department .,helms unveils plan to streamline us foreign affairs institutions
mel gibson has visited a prison in mexico 's gulf coast state of veracruz where local officials said he is scouting locations for a new movie .,mel gibson visits mexican prison reportedly to scout locations for film
"john mccain 's nuclear proposals are largely in line with those of the unpopular president george w. bush , despite what appeared to be recent attempts by the republican presidential candidate to distance himself from the white house on the topic .",mccain bush have largely similar nuclear policies
"copper prices fell friday on the london metal exchange -lrb- lme -rrb- as traders liquidated their positions in the wake of large stock increases in lme <unk> , pulling other metals down with it .",copper falls on stock increases pulling other metals with it
slovakia says it is receiving russian natural gas through ukraine again after a nearly two-week cutoff in supplies .,russian gas cutoff ends as supplies reach slovakia
"a senior british diplomat said wednesday there were no deadlines for a u.n. resolution on kosovo 's future , but expressed hope a decision will be taken within weeks at the u.n. security council , which remains divided over the issue .",britain hopes for u.n. resolution on kosovo s future in the next few weeks
"twenty-six men accused of plotting attacks on egyptian tourist resorts and ships in the suez canal on behalf of lebanon 's hezbollah are to be tried in a security court , the public prosecutor said on sunday .",hezbollah plotters face trial in egypt security court
"president bush preached to the faithful tuesday in a small town tucked in a corner of the nation 's ##th most populous state , a campaign-trail reminder that no swing-state nook or cranny is off the political map this year .",bush rallies supporters in west virginia pennsylvania
"starting next year , overseas koreans will be allowed to take abroad the money they receive from selling real estate properties in south korea .",overseas koreans allowed to take real estate proceeds
"by wednesday , there 'll be more than ##,### of them , all soccer fans but strongly divided by their loyalty to two of europe 's mightiest clubs _ manchester united and bayern munich .",barcelona takes on mammoth task of keeping united bayern fans
"former israeli prime minister binyamin netanyahu has agreed in a phone conversation with prime minister ariel sharon to be sworn in on wednesday as foreign minister , israel radio reported .",netanyahu to be sworn in as israeli foreign minister on wednesday
"a man who fled to ireland to avoid charges that he killed three college students in a #### drunken driving wreck was sentenced to the maximum ## years , three months in prison by a judge who told him he deserved no leniency .",former fugitive gets ## years for wreck that killed #
"cuban foreign minister felipe perez roque said his country had `` very strong '' relations with india after meeting with his counterpart from new delhi , digvijay singh saturday .",cuban indian foriegn ministers meet
turkish prime minister recep tayyip erdogan presented his condolences to britain following thursday 's massive bomb attack against the british consulate in istanbul .,turkish premier expresses condolences to britain after blasts
television viewers around the globe for the first time will be able to telephone or text message in their vote for this year 's miss world winner .,tv viewers to pick miss world #### for first time
"the spanish government tuesday again countered allegations of corruption in the socialist administration of premier felipe gonzalez , after opening an enquiry into reports his brother-in-law received special treatment in the awarding of a public works contract .",madrid counters new corruption allegations
"jeff carter and michael handzus scored in the first # #\/# minutes of the third period and the philadelphia flyers made a late lead hold up this time , beating pittsburgh #-# on saturday night in a feisty rematch of the penguins ' overtime victory four nights before .",flyers beat penguins #-#
"india and pakistan are likely to resume direct airlinks from january # , indian government sources said monday .",india pakistan likely to resume air links from january #
"china bluntly told the united states tuesday to stay out of hong kong 's affairs , rejecting us calls for beijing to quickly set up a timetable for full democracy in the territory following weekend protests .",china tells us to stay out of hong kong affairs
mexico 's state-run oil company was working monday to repair a leak in a ##-inch -lrb- ##-centimeter -rrb- gas pipe in southeast mexico that forced officials to evacuate a small town and close a highway .,gas pipe leak forces mexico to evacuate small town close highway
"hong kong stocks plunged ###.## points , or #.## percent , to open at ##,###.## on wednesday .",hong kong stocks open lower june ##
"china has developed a new technology that will keep textile goods from getting wet , tainted or dirty by such liquid material as water and oil .",china develops <unk> <unk> technology
"romania is prepared to take in refugees from neighboring yugoslavia if needed , foreign minister andrei plesu said friday .",romania will take refugees from neighboring yugoslavia
at&amp;t corp. announced tuesday the appointment of a new president to run its core telephone and network service operations while chief executive c. michael armstrong focuses on the company 's sweeping breakup plan .,at&amp;t names dorman as president
"u# , patti smith , ## cent , john legend and josh groban are contributing to the soundtrack of this year 's sundance film festival .",for josh groban sundance festival is something to sing about
"stephon marbury put on a dazzling show , scoring ## of his season-high ## points in the first six minutes of the fourth quarter sunday as the knicks continued their resurgence under lenny wilkens with a ###-### victory over the los angeles clippers .",new york native marbury lights up madison square garden
"hunched quietly over their terminals around the world , the mouse-clicking , keyboard-tapping denizens of the internet have created quite a noise in asia .",asia feels slightly disoriented in cyberspace
"still struggling to safeguard the space shuttle discovery against the kind of damage that doomed the columbia , nasa officials delayed its mission once again friday , pushing the liftoff date from late may to mid-july .",nasa delays shuttle launch again citing ice concerns
india 's congress party-led federal government monday asked a coalition ally governing the eastern state of jharkhand to resign after it failed to prove it had a majority in the assembly .,india 's federal government asks coalition ally to resign from eastern state
zimbabwe 's budget will not be affected by the government decision to pay an <unk> #.# billion zimbabwe dollars gratuity to ex-freedom fighters as there are other alternative sources of raising revenue .,zimbabwe has enough money to pay ex-fighters :
the united nations wants gaza border crossings to be opened for more than just humanitarian aid and eventually for normal economic transport .,un says gaza needs more than aid
"chechen rebels reportedly shot down a russian plane over the breakaway southern republic on friday , demonstrating their unflinching resolve in the #-month-old war .",precede moscow chechen rebels reportedly shoot down russian plane
"a court in azerbaijan on monday convicted ## people accused of ties with iranian intelligence of crimes including treason and plotting to seize power , and handed down lengthy prison sentences .",## accused of ties with iranian intelligence convicted in azerbaijan
"the zambia soccer squad on wednesday made a low-key return from cote d'ivoire where they ended a ##-year unwanted wait for a continental medal by bagging the african nations championship -lrb- chan -rrb- bronze , zambia daily mail reported on thursday .",zambia national soccer squad returns from chan
the british government on friday aired its contrition over the parade of blunders that continued to mar an investigation into the racist killing of a black teen-ager and heap embarrassment on police and government leaders .,british government expresses regret over murder investigation
kazakhstan is exploring ways with iran to export its oil via an iranian island in the gulf .,kazakhstan to export oil via iran
"barack obama was taking action monday on a campaign promise to cut greenhouse gases , even as he opened his first full week as president consumed with braking america 's perilous economic slide and republican challenges to his $ ### billion stimulus plan .",obama to allow states to set auto emissions rules
"rebels shot and killed two french soldiers in a remote fishing village , marking france 's first combat deaths as it it tries to restore peace in its former colony after a #-month civil war , french military officers said tuesday .",rebels kill # french peace troops in ivory coast
"another pneumonic plague patient is near death and one is in serious condition in the town of <unk> , in xinghai county in the hainan tibetan autonomous prefecture , health authorities said tuesday .",fourth plague patient near death in nw china province
the nazi-hunting simon wiesenthal centre on monday condemned a local authority 's decision to allow construction of a shopping center near the nazi auschwitz-birkenau death camp .,nazi hunters slam auschwitz shopping center plan
"the ministry of economic affairs -lrb- moea -rrb- could further cut or suspend water supply to selected sectors in the northern county of taoyuan if the current dry spell continues , an official said monday .",water supply in taoyuan area may be further rationed
"militants opposing a legislative election in an indian state shot and killed a communist party candidate and his bodyguard , news reports said wednesday .",communist candidate assassinated in eastern india
"an employee of an italian aid group , arrested three months ago in afghanistan and accused of involvement in the kidnapping of an italian journalist , has been released , a spokesman for the group said saturday .",italian aid group worker freed in afghanistan
"unique and mysterious , the tiny human stem cell represents one of the hottest new fields of medical research .",stem cell research awaits bush 's funding decision
"the nikkei stock average of ### issues closed at ##,###.## points on the tokyo stock exchange tuesday , down ##.## points , or #.## percent , from monday .",stocks lower at close in tokyo
lg electronics inc. said wednesday its net profit fell #.# percent last year due to losses from investments in subsidiaries and the advance booking of bonus <unk> .,lg electronics net profit falls #.# percent last year
"the sri lankan government forces will launch a massive operation soon to destroy the liberation tigers of tamil eelam -lrb- ltte -rrb- hideouts in the north of the country , according to military sources today .",sri lanka to launch operation against ltte
"the bush administration , responding to two suicide bombings in israel , said monday that meaningful progress in mideast peacemaking will be very difficult unless palestinian leaders crack down on terror groups .",u.s. says progress in mideast peace difficult unless palestinian leaders crack down on terrorism
"a few years ago this village looked likely to turn into a ghost town , but today the future looks rosier for what could be described as the british capital of central brittany .",british property buyers breathe fresh life into dying french villages
"with three filipinos born every minute , the population of the philippines has now topped ## million , making it the ##th most populous country in the world , officials said friday .",philippine population surpasses ## million
australian prime minister john howard said wednesday that his new government will continue to follow the one-china policy .,australian pm reiterates one-china policy
"the yen extended multi-year gains against the dollar and euro in asian trade tuesday with investors storming out of risky deals as equities fell on deepening fears of a global recession , dealers said .",yen extends gains in asia as players storm out of risk
volkswagen ag said it will make a `` concrete offer '' to the metal workers union as the two parties enter their third round of wage talks today .,volkswagen will make concrete offer in third round pay talks
"a newborn baby found dead last week in the room of her teenage mother was apparently born alive , and authorities continue to investigate whether to bring charges against the ##-year-old mother .",officials await autopsy in death of baby
roy oswalt pitched a five-hitter to lead the houston astros past the san diego padres #-# on monday .,oswalt pitches astros over padres
"the french parliament on thursday adopted a bill to partially privatize the state-run electricity and gas utilities , a plan that had sparked broad protests from labor unions .",french parliament adopts edf gdf privatization bill
"chavez appealed to european and south american nations to strike the revolutionary armed forces of colombia , or farc , and a smaller rebel group known by its spanish initials eln , from their lists of terror groups .",chavez proposal widens rift between colombia venezuela
"twenty passengers and a crew member on a boeing ### aircraft flying from hong kong to frankfurt were injured in an emergency landing at kai tak airport late last night , a government spokesman said here today .",## injured in emergency landing in hong kong
manchester united 's portuguese winger cristiano ronaldo looked set tuesday to make his first appearance for the club since an eventful world cup in which he dazzled on the pitch but was roundly booed by fans .,ronaldo set to make man utd return
"thousands of catholics gather wednesday for the sixth world meeting of families , which pope benedict xvi will attend only by video link , in a city where abortion , quick divorce and same sex unions are legal .",catholics hold family meeting without pope in mexico
"an iraqi television cameraman and his driver were killed in a roadside bombing tuesday north of baghdad , <unk> tv reported .",roadside bomb kills iraqi tv cameraman on assignment north baghdad
"us ambassador to venezuela , charles shapiro , said monday the crucial oil trade between the two countries should not be affected by the upcoming referendum on the mandate of president hugo chavez .",us ambassador says venezuelan referendum would not affect oil trade
"about ### american schoolchildren trapped for six days in a rebel-held city here were evacuated wednesday by french soldiers , as american special forces landed nearby in the capital .",u.s. children evacuated from rebel-held ivory coast city
"indonesia lifted tsunami warning after a #.# magnitude quake hit bengkulu province of sumatra island on thursday morning and there is no report of damages and casualty , the meteorology and geophysiscs agency and disaster management agency said here .",indonesia lifts tsunami warning
"beijing , feb. ## -lrb- xinhua -rrb- -- the number of bus travelers is expected to reach a peak on saturday , with ##.## million people believed to hit the roads as millions get back to their normal lives after the holiday , the ministry of communications said on saturday .",traffic expected to peak as chinese make post-holiday journeys
"the us space shuttle endeavour was rolled out wednesday to its launch pad at the kennedy space center in cape canaveral , florida ahead of liftoff slated for august # , nasa said .",space shuttle endeavour moved to launch pad
"washington was on tenterhooks tuesday for an appearance in congress by the top us general in iraq , who was expected to argue for a pause in troop withdrawals as the war drags into a sixth year .",us iraq chiefs face senate grilling over war 's progress
"from affluent , highly educated areas such as belmont and concord to some of boston 's most diverse neighborhoods , deval l. patrick drew enthusiastic support tuesday , tapping into an unusual coalition united in part by excitement over patrick 's personal appeal and driven by a desire for change .",patrick draws new energy traditional support
"a moroccan court has convicted ## heavy metal music fans of moral depravity and offending islam , raising an outcry friday in newspapers fearful of an erosion of civil liberties .",fears for civil liberties as moroccan court convicts ## heavy metal fans
"an italian judge ordered the release friday of a german aid worker and the captain and first officer of an aid ship after their arrest for disembarking ## illegal africans in sicily , the ansa news agency said quoting italian european parliament deputy luisa <unk> .",italy frees three from german aid ship
"two people were killed and eight others injured in a gas cylinder explosion at a factory in bangladesh 's chittagong district , ### km southeast of capital dhaka , saturday .",gas cylinder explosion kills # injures # in bangladesh
the turkish film `` pandora 's box '' has won the top prize at spain 's san sebastian film festival .,turkish film pandora s box wins at san sebastian
"south korean police are pushing a controversial plan to have all new mobile phones equipped with a chip that can locate the user through satellite-based positioning technology , the chosun ilbo reported on thursday .",s. korean police seek to equip gps system to cell phone users
"stricter tests for performance-enhancing drugs will be used during china 's national winter games , a sports official said sunday .",china promises tighter drug tests at national winter games
birmingham 's premiership match against chelsea here on tuesday could see the visitors go top and the home side move up to fourth but both sides could be forgiven for being sidetracked by other concerns .,chelsea have eriksson on their minds as they face birmingham
"the man the government presented as its fbi expert on al-qaida admitted in federal court tuesday that no fbi agents alerted him before sept. ## , #### , that zacarias moussaoui had been arrested in minnesota trying to learn to fly jumbo jets just weeks before the world trade center and pentagon were attacked .",fbi agent takes stand in moussaoui case
"the trial of a top opposition leader will be held in caracas instead of his home city , venezuela 's supreme court announced -- a move the official says is aimed at stacking the odds against him .",venezuela court moves trial of chavez opponent
"hirofumi miyase , who led through every round , shot an even-par ## sunday and won his first career title , taking the sapporo <unk> open by five strokes .",<unk> wins first career title
"anti-war marchers clogged the streets of boston , massachusetts in what may have been the largest demonstration there in decades saturday , and more than #,### protested in harrisburg , pennsylvania .",new wave of us anti-war demonstrations
"us secretary of state condoleezza rice 's departure from malaysia was `` likely '' to be delayed until saturday , a state department official said friday , amid uncertainty over the next diplomatic moves in the middle east crisis .",rice likely to leave malaysia on saturday
"federal authorities seized disgraced financier bernard madoff 's antique yacht and a smaller boat from two florida marinas early wednesday , part of an effort to recoup assets to pay back his swindled investors .",us marshals seize madoff s # boats in florida
"share prices rose slightly on the taiwan stock exchange on monday , with the weighted price index , the market 's key barometer , increasing #.## points to close at #,###.## .",share prices up slightly on taiex
"a former senior transport official and eight others are to go on trial next week in one of vietnam 's most notorious corruption scandals , a court official said tuesday .",senior vietnam transport officials to be tried for graft
"derek jeter turned the all-star game into just another night of '' new york , new york .",jeter named mvp at all-star game
efforts by georgia congressmen to create a special category of `` organic '' chicken for a home state poultry processor have provoked an angry response from other organic farming interests .,georgia company pushes its own definition of organic chicken
"making fun of the lions is too easy , like an ice fisherman casting his line into a drink cooler .",lions prolong a tradition of futility
"kazakhstan 's leader merged his party with his eldest daughter 's on tuesday _ a move tightening president nursultan nazarbayev 's grip on power , and ending his ambitious daughter 's political independence .",kazakh president merges party with daughter 's tightening grip on power
"the director-general of the world trade organization says the collapse of the group 's recent meeting in mexico does n't mean that multinational negotiations are doomed , and asked china to use its influence to help smooth the way toward new talks .",wto chief asks china for help restarting trade talks
u.s. middle east mediator dennis ross and egyptian foreign minister amr moussa said today that a deal on hebron is near though the palestinians and israelis still need to clear the way ahead .,u.s. egypt affirm progress on hebron deal
a federal judge thursday sentenced former worldcom inc. finance chief scott d. sullivan to serve five years in prison for helping to direct an $ ## billion accounting fraud that drove the telecommunications giant into the nation 's largest bankruptcy .,ex-worldcom cfo sentenced to five years
life is not so easy these days in the french quarter .,french quarter becomes oasis of wary calm
"under fire at the united nations over the iraq war , us president george w. bush called tuesday on the international community to help rebuild iraq , amid new reports of bloodshed on the ground .",bush urges world support on iraq amid new reports of bloodshed
grain and soybean futures prices finished mostly lower monday on the chicago board of trade amid signs of weak export demand .,grains soybeans finish mostly lower on weak export data
"an updated version of the bush administration 's national security strategy , the first in more than three years , gives no ground on the decision to order a pre-emptive attack on iraq in #### , and it identifies iran as the country likely to present the single greatest future challenge to the united states .",strategy report backs iraq strike and cites iran peril
defending world champion wang bingyu of chinese women 's curling team lost her third straight game in what has thus far developed into a china meltdown .,chinese women 's curling team encounters third straight loss
"british airways said tuesday it had reached an agreement to sell its ##.# percent stake in air mauritius for #.# million pounds -lrb- #.# million euros , #.# million dollars -rrb- to existing shareholders .",ba says agrees to sell stake in air mauritius
"virgin atlantic airline said on friday that it would next week begin cutting its fuel surcharge on long-haul flights sold in britain to ## pounds -lrb- ##.# euros , ##.# dollars -rrb- owing to cooler oil prices .",virgin atlantic cuts fuel surcharge on plane tickets
"the small , fringe anti-zionist jewish group <unk> <unk> sparked outrage by meeting in december with iranian president mahmoud ahmadinejad .",a look at the anti-zionist <unk> <unk>
"as he prepares to meet next week with mexican president vicente fox , assembly speaker fabian nunez is pressuring gov. arnold schwarzenegger to join his counterparts in new mexico and arizona in declaring a state of emergency to help defray the costs of illegal immigration .",nunez pushes schwarzenegger to declare border emergency
treasury secretary henry paulson said thursday that stronger regulatory oversight of mortgage lenders is needed to avert the kind of credit crisis now dragging down the u.s. economy .,paulson says us blueprint calls for stronger oversight of mortgage lenders
the nato-led multinational stabilization force -lrb- sfor -rrb- in bosnia detained a bosnian serb war-crimes suspect in bijeljina in northeastern bosnia thursday .,sfor arrests war crimes suspect in bosnia
"us president barack obama will not decide whether to send more troops to afghanistan for `` many , many weeks , '' the white house said friday , after top democrats raised concern over any new deployment .",no obama afghan troop decision for many weeks
"iran on tuesday reiterated its call for a world peace coalition based on justice , saying that `` the new age is the century of dialog and understanding among nations .",iran reiterates call for world peace coalition
the astros agreed to pay enron because the team wanted to distance itself as far and as quickly as possible from the bankrupt company .,astros end marriage with enron in $ #.# million settlement ; <unk>
the music being played tonight at the moose lodge does n't conjure up images of `` swing .,west coast swingers cut loose at the moose
prosecutors issued an official request friday to a spanish judge to drop a planned investigation of officials from george w. bush 's administration over alleged torture at guantanamo bay .,spanish prosecutors seek end to guantanamo probe
"democratic white house hopeful barack obama warned wednesday that if elected president he would be prepared to order military strikes against al-qaeda in pakistan , even if islamabad objects .",obama warns he would attack al-qaeda in pakistan
"the trial of muntazer al-zaidi , the iraqi man who hurled his shoes at us president george w. bush , will start on december ## , the judge investigating his case told afp on monday .",iraqi shoe-thrower trial to begin dec ##
"the employment situation in china was very grave as job seekers outnumbered openings by two to one in #### , said yin chengji , spokesman for the ministry of human resources and social security friday .",official says china 's employment situation very grave
austrian president thomas klestil said wednesday that his country appreciates and attaches importance to china 's role in international affairs as a big power .,austria attaches importance to china 's international role
"`` a woman can respond to physical violence inflicted on her by a man with <unk> as a self-defense measure , '' wrote grand ayatollah mohammed hussein fadlallah , lebanon 's <unk> shiite cleric , in a fatwa late in #### that shocked conservative muslims around the world .",an ayatollah for the modern muslim
"overseas wine drinkers have discovered u.s wines , particularly those produced in california , buying a record $ ### million in u.s. wine last year .",overseas wine sales set record
the dollar rose marginally against the euro on wednesday amid a heavy flow of economic data that did little to alter investor sentiment .,dollar higher in steady currency trade
british lawyers looking for ways to hold israel accountable for its deadly advance into gaza last year have expanded their legal campaign by seeking the arrest of israeli military officers entering britain .,uk activists seek arrest of israeli officers
"the ivory coast government will investigate and prosecute cases of human rights violations , a minister said here friday , urging an international probe into reports of massacres in the war-torn country .",ivory coast government says rights violations wo n't go unpunished
texas state comptroller john sharp on tuesday unveiled a plan for moving parents off texas ' welfare rolls by training them as child-care workers and giving them free care for their children at the same time .,texas official announces welfare-to-work plan
an egyptian security official says large numbers of security forces are heading to egypt-israel border area in an attempt to stave off any further bedouin strife .,heavy troops deployment near egypt-israel borders
"two days after his divorce , tiger woods says he feels more sadness than relief .",tiger woods says divorce a sad time in his life
"taiwan 's jobless rate rose to a ##-year high of #.## percent , while its labor participation rate dropped to a ##-year low of ##.## percent last year , according to official statistics .",taiwan 's jobless rate reaches ##-year high
"the number of doctors leaving slovakia seeking higher wages in other european union countries rose last year , the slovak chamber of doctors said wednesday .",rising number of doctors leaving slovakia for other eu countries official says
"rodney rash , the young thoroughbred trainer whose urgent request is scheduled to defend his santa anita handicap title today , died friday morning , three days after entering a hospital with a blood disorder .",trainer rash dies at ##
"president bush , eager to put a face on his call for a new era of civility in washington , is conjuring up images of one of the <unk> men in the history of texas politics .",bush says he learned political civility working with bullock
"turkish and greek cypriots decide saturday whether they can live with a u.n. plan their leaders have rejected as requiring too many concessions , but that would reunite their tiny mediterranean island after ## years of division .",cypriots decide whether to accept un plan to end island 's ##-year division
"fallujah , iraq , may ## - more than a dozen us marines armored vehicles entered the sunni muslim bastion of fallujah monday on a symbolic tour of the city with a lead element of iraqi civil defense corps carrying the old iraqi flag .",symbolic us marines convoy enters fallujah
"italian foreign minister renato ruggiero will arrive here on wednesday to hold talks with egyptian officials about the issue of combating terrorism and the current situation in the middle east , egypt 's state-run mena news agency reported on monday .",italian fm to visit egypt
"at least ### maoist rebels were killed when nepalese security forces stormed two guerrilla training camps , a home ministry official told afp friday .",at least ### maoists killed in nepal
"wall street shares fell heavily wednesday as a weakened dollar , an oil price spike and renewed fears about economic growth triggered a widespread selloff .",wall st. tumbles on weak dollar oil price spike
"hong kong on tuesday repatriated more than ### vietnamese , three months after scrapping a ##-year-old policy of offering the asylum-seekers temporary haven .",hong kong repatriates more than ### vietnamese
"come , take a seat in the kitchen of creation and try to replicate the lost recipe for the origin of life .",researchers seek to reconstruct the chemistry of creation
"south korea 's antitrust watchdog thursday fined us firm qualcomm a record ### billion won -lrb- ### million dollars -rrb- for violating fair competition rules by abusing its market monopoly , a statement said .",skorea fines qualcomm ### mln dlrs for unfair trade
foreign ministers from eight muslim countries met in istanbul today in a bid to strengthen cooperation among muslim states .,# muslim foreign ministers meet in istanbul
"dow jones &amp; co. said thursday it is laying off ### workers , or about # percent of its work force , as it reported first-quarter earnings just below expectations , which had already been lowered twice .",dow jones to cut ### jobs
"each side blames the other , but the white house and the republicans ' senate leader agree that their legislative response to the oklahoma city bombing could be in trouble .",sniping white house republicans put terrorism legislation in limbo
"chinese president jiang zemin , in a meeting with visiting djiboutian president hassan gouled aptidon today , noted that <unk> relationship has been progressing smoothly despite changes in international and domestic situations in both countries .",chinese president meets djiboutian counterpart
"taiwan and the u.s. have broken up a multimillion dollar ring responsible for smuggling scores of young chinese women into the united states , an official said friday .",taiwan us break up human smuggling ring
"comedian soupy sales says he 's not sure why his career is on the rebound nearly ## years after he started his first television show , best remembered for his pie-throwing antics with celebrity guests .",soupy sales ca n't explain comeback
"a soldier in a nato-led force operating against taliban insurgents in southern afghanistan was killed in a `` hostile incident '' on wednesday , the alliance said .",nato soldier killed in afghanistan
you might say that showtime 's <unk> warped new drama series `` meadowlands '' is a sort of modern-day everyday version of `` the prisoner '' crossed with `` twin peaks .,meadowlands for people with secrets
"two people were killed thursday in an explosion at a fuel depot near arkhangelsk in northwest russia , an official said .",two killed in fuel depot explosion in north russia
"at least ## villagers have died in diarrhea and dengue fever outbreaks that have stricken more than #,### people in east nusa tenggara province , a newspaper reported tuesday .",diarrhea dengue fever kill ## in east nusa tenggara
the chief of british aircraft engine maker rolls-royce plc said thursday that the company 's earnings outlook would not be hurt by its recent suspension in production of engines for the airbus a### .,rolls-royce optimistic about earnings despite airbus a### delays
chinese president hu jintao on thursday called on the international community to further intensify cooperation to fight the current global financial crisis .,chinese president calls for further international cooperation in countering crisis
the private lives of britain 's royal family got another public airing monday in a tabloid preview of a racy tell-all book by the duchess of york 's personal psychic healer .,psychic healer reveals all on fergie
"the agricultural losses resulting from typhoon nock-ten , which pounded northern and northeastern taiwan with strong winds and torrential rains monday , have surged to nt$ ### million , council of agriculture -lrb- coa -rrb- officials said tuesday .",agricultural losses from typhoon surges to nearly nt$ ### million
a hearing in the war crimes trial of slobodan milosevic was canceled tuesday when the former yugoslav president complained of feeling ill .,milosevic trial delayed again due to illness
"the yankees are close to having one future hall of famer officially in the fold , working out contract language on a new deal for alex rodriguez that will reach at least $ ### million if rodriguez sets the career home run record .",rodriguez s potential deal could reach $ ### million
